"","Locator","mean_Conc","Stream","Developed, All Intensities","Developed, Open Space","Deciduous Forest","Agriculture, Total","Wetlands, Total","Open Water"
"1","0311",323.285714285714,"Green",14.5930603960636,6.91105953892308,1.90519702103229,4.82020264096323,2.31969725148989,0.910509675176078
"2","0317",364.464285714286,"Springbrook",83.7413852786607,7.50857538471221,1.37206155395412,1.22100890581238,2.71422727129685,0.193536205431601
"3","0321",784.964285714286,"Crisp",15.4573347707107,11.2778837382868,5.20772866738536,3.35848743676922,3.55750891450369,0.414628078613484
"4","0322",1251.21428571429,"Newaukum",15.9624360595919,10.0155583662596,1.91065692123437,36.1021255638509,5.77674304070919,0.191401484200983
"5","0430",847.571428571429,"Lyon",79.8050534683449,10.0217658748935,0.936878962808744,0.0946342386675499,0.28390271600265,0.00946342386675499
"6","0434",778.464285714286,"Thornton",92.085822762457,5.54787061835948,0.0470906789887277,0.0853518556670689,0.220737557759661,0.0559201812991141
"7","0438",187.285714285714,"Cedar",8.63499548144477,5.94973471708014,1.40986211118561,0.574840392968545,1.55871935399236,1.87939101536309
"8","0440",804.428571428571,"May",36.2698904175978,15.6080880967125,9.17315096524057,0.931585040790501,1.94125090869928,0.608491963059691
"9","0442",353.75,"Coal",44.1890315052509,12.7246207701284,11.4819136522754,0.122520420070012,0.0700116686114352,0.0175029171528588
"10","0444",211.285714285714,"Kelsey",77.1007576503001,10.2479582800354,1.80310931811473,0.280429007182918,2.24835186460691,0.115615467873659
"11","0446",906.785714285714,"Juanita",84.6960847934242,6.70019467878001,3.22301535799265,0.054077438892494,0.794938351719663,0.0594851827817435
"12","0450CC",226.714285714286,"Sammamish",31.1469642462583,14.4752564028308,4.74728688157096,2.3436108983806,3.2179869186826,5.02251368089566
"13","0470",431.142857142857,"Swamp",77.3448773448773,12.1396033160739,1.70330758566053,0.271623801035566,3.69804487451546,0.452706335059276
"14","0474",684.392857142857,"North",73.4967594450322,13.9629616118873,1.65006870219725,0.0851177665098068,4.25832026167633,0.595824365568647
"15","0478",619.178571428571,"Little Bear",43.028413028413,26.001386001386,2.21298221298221,0.27951027951028,3.03996303996304,0.03003003003003
"16","0484",456.6,"Bear",32.9316537590068,23.1033754198329,3.5357030971098,1.63051793351159,5.79424000233139,0.612719205577858
"17","0486",96.4785714285714,"Sammamish",26.3230849793105,10.5210197927968,5.45251679632552,1.76844857740342,2.26301180448838,7.71758215054573
"18","0631",554.428571428571,"Issaquah",12.5508385646604,8.63960657936404,6.80972871610504,2.71532266577253,1.45794137188061,0.12356487777012
"19","0632",117.285714285714,"Issaquah",38.205437026841,8.62869924294563,2.57226428079835,0.258086717136958,4.87783895388851,0.0172057811424639
"20","A315",282.428571428571,"Mill",69.6458055925433,11.6484687083888,2.7589880159787,3.98402130492676,5.35818908122503,0.599201065246338
"21","A319",240,"Green",2.95687058579144,3.5712894682177,1.57039797119513,5.06422240686886,1.57981062179753,0.714495914693256
"22","A320",784.357142857143,"Soos",38.9815332381012,20.2927354408629,2.57696209345175,2.67012400886073,4.52508125789288,1.85754508001573
"23","A432",1044.42857142857,"McAleer",84.1385395984999,9.04919479373483,0.727994705493051,0.0308846238694022,0.167659386719612,1.84425325391573
"24","A438",156.785714285714,"Cedar",4.07681445236565,4.90031566203414,1.09383844630623,0.497766998309889,1.56279901776128,2.02793216187197
"25","A456",340.785714285714,"Forbes",82.2730329522529,10.7330195023537,2.93207800941493,0.43039677202421,0.443846671149966,0.107599193006052
"26","A499",2184.28571428571,"Cochran Springs",57.6757532281205,8.4648493543759,9.03873744619799,0,0,0
"27","A617",547.857142857143,"Lewis",58.545524691358,14.5833333333333,1.77469135802469,0.192901234567901,0.192901234567901,0
"28","A620",434,"Idylwood",87.3618784530387,3.86740331491713,0.621546961325967,0,0,0
"29","A630",653.714285714286,"Tibbetts",14.6016233228425,5.83899287725692,19.4218982938546,0.256750041411297,0.14908066920656,0.00828225940036442
"30","A631",617.357142857143,"Issaquah",8.42382754368808,9.52336408860921,7.74352651048089,3.65661805348867,1.37335771078702,0.122454185977295
"31","A670",714.142857142857,"Laughing Jacobs",54.3597379392496,20.196545562835,2.20964860035736,0.244192972007147,3.03156640857653,1.95949970220369
"32","A680",256.821428571429,"Pine Lake",38.6140483383686,25.6986404833837,4.22960725075529,0.169939577039275,2.54909365558912,7.26963746223565
"33","A685",1170.92857142857,"Ebright",41.8623929262227,28.3503730312241,5.25006907985631,0,3.4816247582205,0
"34","A687",1403.75,"Zackuse",45.114006514658,21.1726384364821,7.16612377850163,0,0,0
"35","A690",1877.14285714286,"Eden",47.4903474903475,24.7104247104247,1.51922108443848,0.75541379889206,5.34665099882491,0.318952492865536
"36","AMES_1",427.857142857143,"Ames Creek",8.54386551411242,10.6022255122021,5.75481159558718,18.300778451693,1.95329289841922,2.0010506709967
"37","B319",181.071428571429,"Green",0.941613379554226,2.36981361657361,1.28015818192189,0.686468981513755,0.757701545695943,0.757067804021725
"38","B484",255.428571428571,"Evans",33.2852201857349,23.2304801329012,4.16133336964514,1.25548081374765,6.95008033987854,0.119828971377216
"39","B499",649.125,"Yarrow",64.1031941031941,9.37346437346437,1.56019656019656,0.184275184275184,1.81818181818182,0
"40","BB470",695.571428571429,"Swamp",79.3219021712731,11.5558362073153,1.46208772526352,0.0599083564061463,3.05694532148119,0.513268891371578
"41","BSE_1MUDMTNRD",482.214285714286,"Boise",10.6052756551397,4.76190476190476,2.09385658161723,11.3586323015153,3.61999740966196,0.120882441825325
"42","C320",622.285714285714,"Covington",34.0391450167693,23.45196976523,3.77934624818541,1.76202633027982,1.26145066826851,7.25334134254393
"43","C370",802.535714285714,"Longfellow",85.128063894244,8.75791792894519,3.95666942072891,0.2478656017626,0.89966033232351,0.00918020747268888
"44","C484",527.285714285714,"Bear",31.2546082087559,24.0278683094152,3.40980733680262,0.990564525608283,5.38452496714147,0.845238985713217
"45","CHERRY_1",391.857142857143,"Cherry Creek",2.05116114582105,4.17810410737441,2.87128879607955,0.197032720903993,4.22188915646419,1.00200400801603
"46","D320",884.214285714286,"Jenkins",45.4624949346301,22.2620342525647,2.65532023801907,1.32872651267942,4.25064516817028,1.81926760082752
"47","D474",715.214285714286,"North",74.2987049892421,13.8026224982747,1.3843218446799,0.0852514919011083,4.25039581049811,0.657654366094264
"48","F321",661.5,"Crisp",16.9668105372823,10.6414645036464,5.58118767673761,0.163714838517637,6.17651436225629,0.714392022622414
"49","G320",121.7,"Little Soos",38.0497847651132,25.9685569904548,0.926445816956766,4.40763615946098,2.85420175931125,0.280741156653565
"50","GRIFFIN",318.642857142857,"Griffin Creek",0.0438862301728282,0.0919521013144971,1.32285636663811,0.00417964096884078,5.90165304800318,0.0188083843597835
"51","HARRIS_1",516.714285714286,"Harris Creek",9.19329380145898,10.1702145812892,2.78145130327204,0.166375154643573,4.5689177082889,1.78320037541061
"52","KSHZ06",1444.28571428571,"Pipers",86.5505895256375,3.19440636139293,4.4831368247875,0,1.68631752125034,0.0137098985467508
"53","KTHA01",1448.92857142857,"Pipers",91.2313432835821,2.7363184079602,3.56550580431177,0,0.932835820895522,0.0207296849087894
"54","KTHA02",1470.71428571429,"Pipers",90.0279776179057,2.87769784172662,3.8968824940048,0,0.999200639488409,0.0199840127897682
"55","KTHA03",1277.14285714286,"Venema",90.0979325353645,1.90424374319913,0.326441784548422,0,2.61153427638738,0
"56","LSIN1",30.35,"Rock",13.6400527543877,8.03997159379121,2.48047073145988,2.6377193872375,8.45084711372628,1.62321193060769
"57","LSIN9",315.5,"Ravensdale",8.62105042896003,2.9504080351538,1.10901862314292,1.36011717932622,5.29399455953128,1.02531910441515
"58","N484",583.75,"Cottage Lake Creek",34.9761266269867,24.8904441101445,3.09372751651514,0.300869906468703,4.78121525279613,1.58937798417163
"59","NFK_SNQ",230.928571428571,"Snoqualmie - North Fork",0.43938479384659,0.967455850764287,0.49367562409164,0.063732713765929,1.08042124288908,1.52823628987931
"60","PATTER_3",610.928571428571,"Patterson Creek",14.212748569872,10.5437891582675,8.40370471261237,8.01382457096159,5.73923998910379,0.0527785344592754
"61","RAGING_MTH",383.25,"Raging River",3.4398906809843,2.96861382196925,1.99593281614823,0.0505708045061815,0.691851644627121,0.264689742734482
"62","S478",810.5,"Little Bear",36.8765178404633,28.0901675073168,2.42231770346846,0.186811133943583,4.53328351703095,0.0684974157793138
"63","S484",313.357142857143,"Evans",33.73697964592,23.6703596010159,4.66708380875262,0.596267805219184,5.90010673929847,0.0809746402149509
"64","SFK_SNQ",287.535714285714,"Snoqualmie - South Fork",5.0075722657536,3.40505037202871,1.37988081912162,0.175314413643248,0.767926516099295,0.630061895041812
"65","SNQDUVALL",208.785714285714,"Snoqualmie",3.25016503939807,2.94225409671688,1.80172074575044,1.99678701625028,2.47233896328158,1.41110040357417
"66","TOLT_MTH",211.821428571429,"Tolt River",0.70376048336189,1.42663901163315,1.10307511948778,0.13310487870863,2.0160519433673,2.00739471548381
"67","VA12A",813.428571428571,"Shinglemill",8.66178351354494,20.1720730147657,8.58039762818277,4.05766771305662,1.66259737239856,0.0116265550517382
"68","VA37A",1430.71428571429,"Tahlequah",6.05924596050269,11.826750448833,4.51077199281867,0.336624775583483,0.20197486535009,0.0448833034111311
"69","VA41A",753.857142857143,"Fisher",5.50708833151581,10.7233733187932,10.7415485278081,19.6837513631407,0.290803344238459,0.145401672119229
"70","VA42A",809,"Judd",7.15183788181348,13.2978330005177,6.96694031506545,10.4208268619185,3.82368168034909,0
"71","VA45A",1141.5,"Mileta",3.91340549542048,6.82764363030808,17.1523730224813,4.496253122398,0,0
"72","VA65A",1400,"Gorsuch",36.0248447204969,25.2173913043478,17.2670807453416,1.98757763975155,0,0.062111801242236
