"","YRBUILT","0305","0307","0308","0309","0311","0317","0321","0322","0430","0434","0438","0440","0442","0444","0446","0450","0450CC","0456","0456A","0470","0474","0478","0484","0484A","0486","0498","0631","0632","3106","A315","A319","A320","A432","A438","A456","A499","A617","A620","A631","A632","A670","A680","A685","A687","A690","AMES_1","B319","B484","B499","BB470","BSE_1MUDMTNRD","C320","C370","C446","C484","CHERRY_1","D320","D444","D474","F321","FF321","G320","GRIFFIN","HARRIS_1","J370","J484","KSHZ06","KTHA01","KTHA02","KTHA03","LSIN1","LSIN9","MFK_SNQ","N484","N484A","NFK_SNQ","PATTER_3","RAGING_MTH","S478","S484","SFK_SNQ","SKYKOMISH","SNQDUVALL","TOLT_MTH","VA12A","VA23A","VA37A","VA41A","VA42A","VA45A","VA65A","X438","X630"
"1",1900,339,227,209,206,126,41,NA,28,NA,6,17,3,1,2,3,77,52,1,1,1,5,NA,10,10,36,1,30,NA,126,18,41,49,NA,10,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,9,3,1,1,26,1,3,2,7,NA,3,2,4,NA,NA,2,NA,NA,2,2,12,12,12,NA,34,NA,NA,1,1,NA,5,12,NA,1,4,6,58,NA,7,1,NA,3,10,1,10,26,NA
"2",1901,48,25,23,22,12,5,NA,4,1,1,10,NA,NA,NA,NA,16,8,NA,NA,2,3,1,1,1,7,NA,7,NA,12,NA,5,5,1,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,1,NA,1,NA,1,NA,3,NA,NA,2,NA,NA,1,1,2,2,2,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,4,NA,NA,NA,NA,NA,1,NA,NA,13,NA
"3",1902,47,30,27,26,7,6,NA,NA,NA,1,3,NA,NA,NA,1,12,7,NA,NA,2,1,1,1,1,6,NA,4,NA,7,2,1,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,2,2,2,NA,3,NA,NA,NA,NA,NA,1,4,NA,NA,2,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"4",1903,66,47,45,45,15,14,NA,3,NA,NA,6,2,NA,1,NA,11,9,NA,NA,NA,1,NA,1,1,5,NA,3,NA,15,3,4,2,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,2,NA,NA,1,3,11,NA,NA,NA,1,1,4,NA,2,8,NA
"5",1904,76,51,47,47,19,9,NA,4,1,4,2,2,NA,NA,NA,14,11,NA,NA,NA,NA,NA,NA,NA,9,NA,8,NA,19,1,5,10,2,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,14,NA,NA,2,3,29,NA,NA,NA,NA,NA,2,NA,NA,12,NA
"6",1905,88,50,48,45,17,8,NA,4,NA,4,5,1,NA,NA,NA,9,7,1,1,1,1,NA,2,2,4,NA,2,NA,17,2,6,6,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,4,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11,NA,5,NA,NA,1,1,NA,2,5,NA,NA,1,NA,15,NA,3,NA,NA,NA,1,NA,1,12,NA
"7",1906,146,92,90,87,50,14,NA,3,NA,4,6,4,NA,NA,1,5,2,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,50,3,5,37,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,4,NA,14,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,24,24,24,NA,35,NA,1,NA,NA,NA,1,5,NA,NA,1,3,15,NA,NA,NA,NA,NA,NA,NA,1,14,NA
"8",1907,122,69,66,63,29,17,NA,5,NA,3,8,NA,NA,NA,NA,9,7,NA,NA,NA,2,NA,1,2,4,NA,1,NA,29,4,8,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,1,NA,16,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,12,NA,4,NA,NA,NA,2,NA,2,23,NA
"9",1908,233,152,141,134,60,27,NA,15,NA,13,6,1,1,2,1,21,11,3,3,NA,1,1,2,2,9,1,5,NA,60,19,18,7,NA,3,3,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,14,NA,24,1,2,NA,1,1,1,NA,NA,1,NA,NA,3,NA,16,15,15,1,1,NA,NA,1,1,NA,NA,1,NA,NA,1,3,10,NA,4,1,NA,2,3,NA,1,18,NA
"10",1909,193,125,121,121,45,43,NA,10,1,6,6,NA,NA,NA,1,11,6,NA,NA,NA,NA,NA,2,2,4,NA,2,NA,45,13,13,9,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,2,NA,33,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,11,11,11,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,17,NA,1,NA,NA,NA,NA,NA,2,17,NA
"11",1910,343,248,238,236,119,60,NA,15,2,9,13,1,NA,NA,1,53,33,2,2,4,2,2,8,8,21,NA,19,1,119,24,25,32,8,9,2,NA,NA,NA,11,1,NA,NA,NA,NA,NA,1,10,5,NA,4,10,NA,53,1,2,NA,4,NA,1,NA,NA,NA,NA,NA,5,NA,63,62,62,1,20,NA,3,2,2,2,2,9,NA,3,5,10,52,NA,7,1,2,3,8,NA,5,28,NA
"12",1911,136,86,82,78,59,4,NA,13,1,12,14,NA,NA,2,NA,15,13,1,1,NA,NA,NA,3,3,6,NA,4,NA,59,14,15,9,3,4,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,2,NA,NA,9,NA,47,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,3,NA,36,35,35,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,30,NA,1,NA,NA,NA,1,NA,1,20,NA
"13",1912,206,154,152,140,97,12,NA,15,1,10,14,3,NA,3,2,37,20,4,4,1,5,2,7,7,11,1,11,NA,97,23,21,8,2,8,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,5,4,1,1,8,NA,40,NA,2,NA,NA,3,4,NA,NA,NA,NA,NA,5,1,33,33,33,NA,2,NA,NA,1,1,NA,1,NA,NA,2,4,1,49,1,1,NA,NA,1,1,NA,1,18,NA
"14",1913,214,171,168,163,129,9,NA,14,NA,9,4,1,NA,NA,2,34,26,5,5,1,NA,2,2,2,21,NA,21,NA,129,37,15,6,3,3,5,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,1,1,1,1,10,NA,21,1,1,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,15,15,15,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,1,NA,35,NA,6,NA,1,NA,2,NA,1,6,NA
"15",1914,118,85,83,80,61,10,NA,11,3,14,7,NA,NA,1,2,25,21,2,2,2,NA,NA,1,1,19,NA,17,1,61,9,19,12,1,4,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,7,1,NA,1,12,NA,35,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,4,NA,27,26,26,1,8,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,27,NA,3,NA,NA,NA,NA,NA,1,11,NA
"16",1915,144,111,106,99,73,12,NA,22,NA,17,15,3,NA,NA,NA,32,17,3,3,5,3,3,4,4,9,NA,8,NA,73,10,33,7,7,13,3,NA,NA,NA,5,NA,NA,NA,1,NA,NA,3,8,NA,NA,5,5,NA,33,NA,4,NA,NA,NA,2,NA,NA,NA,NA,1,4,NA,33,32,32,1,3,NA,NA,1,1,NA,1,2,NA,NA,5,2,33,1,NA,NA,NA,1,NA,NA,NA,18,NA
"17",1916,132,82,74,71,53,5,NA,22,10,34,6,2,NA,NA,1,25,18,5,5,2,1,NA,4,5,12,NA,8,NA,53,5,29,6,8,6,4,NA,NA,NA,4,NA,NA,NA,NA,NA,1,1,5,2,NA,2,18,NA,44,NA,2,NA,1,NA,1,NA,NA,1,NA,NA,13,NA,101,100,100,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1,3,2,17,NA,1,NA,NA,1,NA,NA,NA,18,NA
"18",1917,88,61,58,55,38,5,NA,15,1,13,5,5,NA,NA,NA,8,5,NA,NA,1,1,NA,1,1,4,NA,4,NA,38,3,24,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,NA,5,NA,36,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,2,NA,26,26,26,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,2,4,70,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"19",1918,346,196,189,172,92,14,NA,27,11,43,12,6,1,1,4,48,26,6,6,5,2,1,9,10,13,1,7,NA,92,13,33,13,11,8,5,NA,NA,NA,3,NA,1,NA,NA,NA,NA,2,2,2,NA,4,17,NA,250,2,6,NA,NA,NA,1,NA,NA,1,NA,NA,126,2,58,57,57,1,6,NA,NA,1,1,NA,NA,1,NA,1,5,NA,31,NA,8,NA,NA,2,6,1,2,23,NA
"20",1919,236,101,95,89,66,13,NA,20,3,22,3,5,NA,NA,1,23,16,4,4,4,1,1,1,1,14,NA,10,NA,66,11,24,4,1,2,2,NA,NA,NA,5,NA,1,NA,1,NA,NA,1,1,NA,NA,4,7,NA,158,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,111,1,41,40,40,1,NA,NA,NA,NA,NA,3,4,NA,NA,NA,3,NA,33,NA,1,NA,NA,NA,NA,NA,NA,9,NA
"21",1920,427,334,318,303,203,21,NA,59,12,78,34,8,NA,1,3,158,58,7,7,59,23,10,16,17,35,NA,28,NA,203,17,66,45,17,26,6,NA,NA,1,19,NA,NA,1,NA,NA,NA,2,4,3,NA,54,25,1,100,2,13,NA,4,1,22,NA,NA,2,NA,NA,64,1,100,100,100,NA,4,16,NA,4,4,6,2,4,5,2,10,5,92,NA,6,2,NA,3,6,NA,4,57,3
"22",1921,198,150,143,135,113,4,NA,24,9,39,12,3,NA,NA,NA,39,26,2,2,9,1,2,7,7,19,NA,10,NA,113,7,31,13,6,11,1,NA,NA,NA,4,NA,NA,1,NA,NA,NA,1,3,5,1,9,15,NA,59,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,36,NA,43,41,41,2,3,NA,2,1,1,NA,2,3,1,2,1,2,36,NA,NA,1,NA,1,NA,NA,NA,16,NA
"23",1922,271,217,208,201,161,18,NA,26,3,42,11,2,NA,1,NA,65,26,1,1,12,11,9,8,9,13,NA,7,NA,161,16,33,51,8,10,1,NA,NA,NA,2,NA,NA,2,1,NA,1,3,4,2,NA,8,15,1,84,NA,5,NA,NA,1,9,NA,NA,NA,NA,NA,56,NA,52,50,50,2,42,1,NA,3,3,1,3,1,4,NA,2,10,34,1,2,2,NA,1,2,NA,NA,42,NA
"24",1923,214,188,180,173,134,8,1,34,1,45,12,3,NA,1,2,49,27,5,5,5,5,3,5,5,18,NA,8,NA,134,11,41,18,9,6,4,NA,NA,NA,NA,NA,NA,3,2,NA,NA,2,2,3,1,4,16,2,95,NA,2,1,3,NA,4,NA,NA,NA,NA,1,57,NA,38,36,36,2,3,NA,1,2,2,NA,4,4,1,1,2,3,59,NA,1,NA,1,NA,1,NA,NA,45,NA
"25",1924,242,195,186,176,123,18,1,32,2,133,18,2,NA,NA,1,48,29,4,4,6,3,1,9,9,17,1,11,NA,123,6,36,14,5,16,3,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,3,1,NA,3,21,6,96,NA,7,NA,2,NA,3,NA,NA,NA,NA,NA,61,NA,84,81,81,3,1,NA,1,3,3,1,1,1,NA,NA,9,8,64,NA,3,NA,NA,1,NA,2,1,44,1
"26",1925,264,173,157,142,103,15,NA,34,17,89,13,5,NA,1,NA,145,42,5,5,68,16,5,4,4,33,NA,16,NA,103,16,41,18,32,9,4,NA,2,NA,7,NA,NA,NA,1,NA,1,2,4,NA,NA,59,13,NA,169,NA,3,NA,5,NA,14,NA,NA,1,NA,1,101,1,65,58,58,7,1,NA,2,1,1,1,1,3,3,NA,7,4,66,NA,2,1,NA,1,2,NA,1,50,1
"27",1926,255,163,145,137,85,18,NA,23,17,213,16,5,NA,3,3,77,31,2,2,27,2,5,7,7,21,NA,9,2,85,3,26,14,29,12,2,NA,NA,NA,3,2,NA,2,NA,NA,NA,1,2,NA,1,21,22,1,119,1,7,1,2,3,2,NA,NA,2,NA,NA,63,NA,131,117,118,17,2,NA,1,5,5,1,2,1,1,NA,9,4,54,NA,1,NA,1,1,NA,1,1,25,2
"28",1927,226,131,124,111,81,14,NA,37,4,156,14,1,NA,NA,1,53,24,2,2,9,7,5,7,7,16,NA,9,NA,81,NA,39,14,13,12,1,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,18,NA,175,1,7,NA,6,NA,5,NA,NA,NA,NA,NA,92,NA,45,40,40,6,NA,NA,1,3,3,NA,NA,NA,2,NA,7,2,32,NA,2,NA,1,NA,1,NA,1,22,NA
"29",1928,319,227,205,191,122,28,NA,43,15,230,20,6,NA,2,4,113,62,11,11,9,12,13,9,9,42,NA,4,1,122,9,50,19,26,13,7,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,5,NA,NA,5,14,1,171,1,8,NA,6,2,10,NA,NA,3,NA,NA,101,2,103,94,94,9,2,NA,1,4,4,NA,1,3,6,NA,23,14,56,NA,4,2,2,2,5,NA,3,37,NA
"30",1929,211,136,115,104,56,23,NA,17,8,127,39,3,NA,NA,1,42,32,2,2,4,2,3,3,3,22,1,16,2,56,1,21,10,16,19,2,NA,NA,NA,6,2,1,NA,NA,NA,NA,1,1,1,NA,2,10,NA,93,NA,2,1,5,NA,2,NA,NA,NA,NA,NA,34,1,71,67,67,5,1,NA,3,1,1,1,2,2,1,NA,11,1,44,NA,NA,NA,NA,NA,1,NA,1,71,1
"31",1930,394,297,278,241,163,29,NA,30,13,193,41,7,NA,5,1,197,70,13,13,60,33,14,18,18,43,NA,19,NA,163,16,37,47,47,30,9,NA,NA,1,14,NA,NA,3,1,1,NA,4,5,5,1,50,12,7,81,NA,13,1,9,4,32,NA,NA,2,NA,2,34,2,60,55,55,5,1,NA,1,6,6,NA,5,5,6,4,10,8,65,NA,1,NA,2,2,2,NA,1,58,NA
"32",1931,185,150,133,106,68,17,1,19,6,100,18,2,NA,2,3,57,31,NA,NA,6,7,1,8,8,20,NA,6,NA,68,4,25,10,18,14,NA,NA,NA,NA,5,NA,3,4,NA,NA,NA,3,5,3,NA,4,4,NA,23,NA,5,NA,4,2,7,NA,NA,NA,NA,NA,13,1,17,13,13,4,NA,NA,2,2,2,1,NA,1,1,1,1,NA,33,NA,NA,NA,NA,NA,NA,NA,1,23,NA
"33",1932,175,155,144,122,83,21,NA,24,8,108,17,5,2,1,1,106,45,2,2,20,16,6,22,22,14,NA,4,NA,83,6,28,20,7,13,1,NA,1,NA,2,NA,1,1,NA,NA,1,NA,2,2,2,15,3,NA,22,NA,17,3,3,1,14,NA,NA,4,NA,NA,14,2,20,20,20,1,3,NA,5,12,12,1,1,2,1,2,3,3,26,NA,2,1,NA,NA,2,NA,1,30,NA
"34",1933,108,97,83,69,45,11,NA,9,9,55,26,7,NA,1,2,77,36,1,1,10,4,5,12,12,16,NA,8,NA,45,NA,11,5,14,23,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA,1,1,NA,NA,5,3,1,4,2,12,1,2,1,4,NA,NA,NA,NA,1,3,4,11,8,8,3,NA,NA,NA,5,5,NA,NA,3,3,NA,1,NA,20,NA,1,NA,NA,NA,NA,NA,2,32,NA
"35",1934,129,118,103,90,66,6,NA,8,4,48,18,9,NA,4,1,56,25,2,2,10,11,4,12,12,7,NA,1,NA,66,3,13,17,13,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,9,2,4,4,NA,10,NA,6,4,11,NA,NA,1,NA,4,3,2,9,9,9,NA,2,NA,NA,6,6,2,NA,1,1,NA,6,NA,30,NA,2,NA,NA,1,1,NA,1,22,NA
"36",1935,150,131,116,105,76,15,1,7,15,65,12,5,2,5,3,130,35,1,1,48,24,12,14,14,16,NA,9,NA,76,10,13,22,26,11,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,2,NA,1,42,5,3,16,1,14,NA,8,4,24,1,1,1,NA,3,8,4,13,10,10,3,2,NA,NA,9,9,NA,NA,3,6,NA,5,2,29,NA,NA,NA,NA,1,NA,NA,2,19,1
"37",1936,241,210,191,165,103,22,NA,38,6,112,21,7,NA,2,3,98,42,3,3,12,8,8,14,14,25,NA,11,NA,103,5,44,11,22,12,3,NA,1,2,3,NA,1,NA,NA,NA,1,1,5,1,NA,10,13,2,18,2,13,NA,3,2,8,NA,NA,1,NA,8,14,1,35,17,18,18,2,NA,4,9,9,1,3,4,2,1,5,4,48,NA,3,NA,NA,NA,2,NA,1,33,NA
"38",1937,246,210,178,160,100,29,NA,43,6,174,19,6,NA,2,1,67,29,3,3,11,8,3,12,12,15,NA,6,NA,100,7,46,14,24,12,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,8,12,3,11,1,10,2,6,1,8,NA,NA,NA,NA,7,8,NA,81,46,47,34,NA,NA,4,8,8,NA,3,2,2,1,6,9,45,NA,1,NA,NA,NA,NA,NA,2,45,NA
"39",1938,299,251,216,187,136,25,NA,50,6,223,19,10,NA,3,2,112,41,5,5,26,19,8,13,14,22,1,12,NA,136,6,51,34,32,10,4,NA,NA,NA,7,NA,NA,3,NA,NA,NA,1,NA,2,NA,21,20,7,30,NA,10,NA,7,2,18,NA,NA,3,NA,2,15,3,58,51,51,7,1,NA,1,7,7,4,4,3,5,2,10,4,53,1,NA,NA,1,NA,NA,NA,NA,45,NA
"40",1939,295,249,203,174,130,16,1,21,6,296,18,4,NA,NA,4,76,32,1,1,9,15,NA,14,14,15,NA,8,NA,130,7,29,31,33,15,1,NA,NA,NA,3,NA,1,2,NA,NA,NA,1,2,1,NA,5,13,7,30,1,12,1,13,NA,15,NA,NA,NA,NA,4,10,2,89,58,58,31,1,NA,6,6,6,1,2,4,NA,1,5,6,63,2,1,NA,NA,NA,2,NA,NA,32,NA
"41",1940,533,367,326,274,176,34,NA,44,8,529,22,9,NA,2,3,225,55,11,11,85,51,24,23,23,20,NA,9,NA,176,13,51,37,48,14,10,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,6,3,NA,77,31,5,89,1,19,NA,4,2,49,NA,NA,2,NA,3,29,6,205,165,165,42,2,NA,2,9,9,7,5,3,8,2,5,NA,50,1,2,1,NA,NA,3,NA,2,68,NA
"42",1941,784,439,312,258,157,22,NA,12,1,548,19,4,1,5,3,101,38,3,3,37,11,4,7,7,24,NA,11,NA,157,16,14,14,45,8,2,NA,NA,1,2,NA,2,NA,NA,NA,NA,1,2,3,NA,31,3,NA,225,3,4,NA,6,4,9,NA,NA,1,NA,NA,174,NA,128,81,81,45,NA,NA,NA,3,3,NA,2,1,NA,2,4,3,17,NA,1,NA,NA,NA,1,NA,NA,76,NA
"43",1942,796,603,498,404,223,47,NA,16,52,723,40,25,1,11,7,261,69,6,6,121,33,8,22,23,36,NA,5,NA,223,26,21,40,102,22,6,NA,2,NA,1,NA,6,9,NA,NA,1,2,1,2,4,99,3,4,289,2,20,NA,7,10,31,NA,NA,NA,NA,NA,236,3,160,137,137,26,2,NA,NA,14,13,1,1,3,4,1,3,1,20,NA,NA,2,NA,3,2,NA,2,459,NA
"44",1943,689,544,456,411,173,27,NA,6,4,142,93,83,2,7,1,120,83,NA,NA,17,12,3,18,18,56,1,21,NA,173,33,7,23,15,4,NA,NA,4,NA,6,NA,2,5,NA,NA,NA,NA,NA,3,NA,16,2,1,187,1,15,NA,7,4,12,NA,NA,1,NA,2,120,2,25,22,22,3,2,NA,2,8,7,1,3,3,NA,1,1,1,31,NA,6,NA,NA,NA,2,NA,1,266,NA
