"","YRBUILT","0305","0307","0308","0309","0311","0317","0321","0322","0430","0434","0438","0440","0442","0444","0446","0450","0450CC","0456","0456A","0470","0474","0478","0484","0484A","0486","0498","0631","0632","3106","A315","A319","A320","A432","A438","A456","A499","A617","A620","A631","A632","A670","A680","A685","A687","A690","AMES_1","B319","B484","B499","BB470","BSE_1MUDMTNRD","C320","C370","C446","C484","CHERRY_1","D320","D444","D474","F321","FF321","G320","GRIFFIN","HARRIS_1","J370","J484","KSHZ06","KTHA01","KTHA02","KTHA03","LSIN1","LSIN9","MFK_SNQ","N484","N484A","NFK_SNQ","PATTER_3","RAGING_MTH","S478","S484","SFK_SNQ","SKYKOMISH","SNQDUVALL","TOLT_MTH","VA12A","VA23A","VA37A","VA41A","VA42A","VA45A","VA65A","X438","X630"
"87",1986,1476,1435,1420,1410,1189,155,17,54,33,121,383,38,97,111,154,3230,1407,45,45,646,987,101,623,627,579,1,150,3,1189,139,153,788,73,103,45,5,26,3,119,2,113,23,6,1,49,9,8,124,27,537,13,48,38,32,476,7,209,51,949,4,4,12,NA,17,30,106,41,36,36,5,15,NA,4,146,146,4,23,10,26,89,49,NA,241,5,3,3,NA,1,3,1,NA,416,5
"88",1987,1572,1528,1516,1506,1297,151,24,69,43,145,320,121,117,124,142,4283,2247,95,95,756,918,164,976,977,1089,3,167,7,1298,130,150,832,69,74,95,5,66,8,144,7,296,49,13,3,175,7,15,465,11,607,6,37,36,53,486,14,268,66,861,1,1,30,NA,17,28,119,24,22,22,2,4,NA,21,211,211,11,96,27,50,452,86,2,437,2,5,NA,2,1,9,NA,NA,333,21
"89",1988,1580,1542,1529,1518,1325,149,9,56,21,119,195,132,95,154,110,3711,1945,66,66,598,813,156,680,682,1091,3,180,71,1325,148,112,847,60,67,66,1,31,1,98,71,532,12,13,8,161,15,16,275,22,520,12,49,41,40,397,9,262,141,786,4,4,44,1,16,28,117,20,16,16,4,2,1,9,163,162,6,91,15,47,262,55,1,384,1,2,1,5,1,4,NA,1,201,10
"90",1989,1647,1588,1581,1564,1260,292,11,35,50,98,251,361,230,58,104,3653,1653,136,136,693,794,194,643,643,904,2,110,21,1260,122,83,861,56,125,131,1,49,6,80,21,482,35,10,4,63,22,18,210,16,657,15,96,23,11,410,10,285,47,735,9,9,65,1,22,11,121,16,14,14,2,8,NA,50,110,109,5,275,33,68,201,48,5,691,5,9,NA,2,2,5,NA,NA,261,2
"91",1990,2265,2223,2218,2209,1886,301,12,72,184,106,301,254,57,43,65,3548,1577,51,51,813,938,217,813,817,692,7,105,3,1886,194,128,1315,163,143,43,2,35,12,95,3,273,7,2,1,62,25,22,429,43,792,133,73,40,29,363,60,668,25,918,11,11,53,NA,34,30,122,29,27,27,2,21,29,15,56,55,5,203,43,112,398,79,8,569,6,7,1,5,5,9,NA,2,307,6
"92",1991,1367,1322,1311,1299,1071,221,7,123,25,83,227,118,72,26,126,2145,967,38,38,499,586,66,428,431,501,3,58,NA,1072,97,176,627,55,119,25,NA,52,19,49,NA,213,4,14,11,20,11,36,152,21,480,178,86,71,57,273,26,225,19,572,7,7,4,NA,13,49,149,32,26,26,6,10,1,6,28,28,2,55,10,27,141,57,3,228,3,11,1,8,5,9,NA,1,232,1
"93",1992,1663,1620,1607,1604,1415,180,4,175,34,88,149,145,46,25,35,1874,908,46,46,453,319,83,280,281,594,4,86,22,1416,64,225,910,57,99,37,NA,121,8,53,21,160,17,7,16,18,27,31,76,16,438,60,44,33,19,204,38,382,15,310,2,2,8,1,21,26,84,20,17,17,3,13,NA,46,43,38,8,188,10,46,54,36,1,447,4,9,2,7,4,13,2,3,160,9
"94",1993,1421,1363,1352,1333,1082,234,6,78,22,67,114,86,22,23,86,2036,843,44,44,508,451,182,403,406,412,3,92,19,1082,41,126,612,63,56,43,NA,70,NA,36,19,120,7,1,7,8,11,29,138,12,472,27,46,27,54,262,17,253,19,433,2,2,6,1,22,18,129,6,5,5,1,17,NA,35,39,39,8,154,8,119,91,104,2,450,17,6,2,3,2,8,NA,1,118,13
"95",1994,1826,1783,1780,1769,1524,230,12,162,20,89,304,79,46,31,66,2240,1040,65,65,461,423,174,358,359,637,1,83,8,1524,38,198,1083,68,243,64,NA,116,3,43,8,235,27,10,11,22,10,19,93,3,429,24,81,21,39,263,15,378,22,412,1,1,30,1,16,9,128,12,12,12,NA,88,1,21,44,44,6,80,13,110,44,126,1,394,5,4,NA,3,2,4,NA,NA,308,3
"96",1995,1046,987,984,976,769,199,1,95,16,101,238,72,45,42,20,2101,964,50,50,399,536,158,261,261,582,2,87,6,769,28,120,494,129,194,44,1,162,12,48,5,136,38,6,9,18,14,15,61,4,385,14,27,31,8,198,13,174,24,527,1,1,12,1,15,22,108,22,17,17,4,42,NA,39,55,54,NA,68,15,112,38,110,6,376,10,7,4,4,4,7,1,2,247,10
"97",1996,1190,1154,1151,1144,969,143,5,56,13,89,307,158,49,33,5,2725,992,40,40,616,827,192,325,326,605,NA,94,64,969,99,84,636,167,173,39,NA,110,9,21,64,200,18,4,NA,29,49,18,83,9,548,8,23,29,1,225,11,248,20,815,1,1,19,NA,18,23,105,7,4,4,3,45,NA,40,46,45,3,173,18,165,48,136,3,525,4,7,3,2,4,6,NA,3,319,4
"98",1997,1090,1052,1035,1018,822,159,3,51,19,85,210,126,39,34,23,2285,766,62,62,388,845,264,282,282,420,NA,60,5,822,69,77,562,53,86,62,1,59,10,49,5,90,18,5,6,52,41,17,94,6,378,10,25,50,11,190,16,205,20,676,NA,NA,78,2,25,41,99,20,18,18,2,55,NA,55,33,33,5,210,12,221,66,117,6,592,7,5,1,3,2,5,2,8,277,5
"99",1998,1222,1176,1170,1149,853,255,2,60,14,112,255,162,48,144,56,2663,1024,53,53,501,798,276,268,272,669,3,94,18,854,56,79,481,53,51,50,1,87,9,66,17,153,11,8,6,146,40,15,66,12,479,4,80,60,32,193,5,114,123,787,NA,NA,14,NA,7,39,89,30,21,21,8,39,NA,11,76,76,2,212,8,193,58,101,3,654,5,5,NA,2,2,6,2,3,299,NA
"100",1999,1162,1101,1090,1071,673,335,5,32,37,129,233,121,85,123,29,3132,1348,28,28,698,811,256,177,178,1096,3,175,112,675,78,68,393,102,90,27,NA,60,13,51,112,288,17,46,3,298,14,24,48,6,662,8,42,30,6,100,16,85,75,794,4,4,15,1,25,15,36,23,23,23,1,4,NA,18,43,43,5,161,10,165,38,81,NA,652,14,3,3,5,5,6,1,3,249,4
"101",2000,874,837,821,810,598,145,1,31,10,133,253,146,109,104,25,2882,873,45,45,709,949,235,172,174,603,11,160,64,598,117,56,246,89,189,40,NA,38,25,65,64,73,23,25,2,75,13,17,58,17,628,11,33,62,3,109,7,43,36,873,1,1,10,1,21,29,46,21,20,20,1,4,NA,15,54,54,6,104,56,167,54,31,1,572,8,7,3,2,3,13,2,5,283,7
"102",2001,1191,1129,1116,1108,908,123,2,39,8,115,403,241,90,78,66,3110,1178,62,62,928,741,167,420,420,693,6,101,50,909,122,65,485,79,152,59,1,15,28,34,45,151,27,76,3,66,15,19,297,10,887,10,15,37,11,117,1,113,32,736,NA,NA,13,NA,21,25,23,36,15,15,21,5,NA,10,28,28,3,109,11,127,291,37,1,584,6,4,2,2,1,6,NA,4,464,NA
"103",2002,1356,1316,1312,1295,1047,187,4,27,60,83,440,129,55,31,33,2327,630,31,31,768,759,149,246,248,340,NA,57,25,1048,85,63,658,59,145,31,NA,5,NA,26,25,46,20,40,2,77,4,20,173,4,731,7,98,29,8,65,1,197,21,757,4,4,28,NA,4,12,35,30,30,30,NA,2,NA,7,13,13,5,153,11,113,125,25,1,573,1,4,NA,2,2,4,1,3,541,1
"104",2003,1897,1843,1822,1804,1619,138,6,24,27,109,848,193,46,29,118,3285,1517,73,73,996,492,142,501,502,921,4,277,230,1619,93,75,1173,47,298,61,NA,6,NA,29,230,219,6,45,3,132,7,23,330,21,886,5,208,76,55,151,5,232,18,475,6,6,103,NA,11,38,85,14,12,12,2,1,43,5,32,32,1,144,9,13,275,14,1,597,4,1,NA,4,4,5,NA,1,967,115
"105",2004,1932,1872,1850,1842,1603,193,13,41,24,107,753,115,46,30,38,3377,1356,62,62,852,944,152,467,468,753,7,285,262,1604,113,84,1097,61,192,54,NA,10,1,18,261,156,5,11,4,69,13,17,317,15,777,13,216,117,30,132,7,299,20,921,12,12,144,NA,8,72,66,30,26,26,4,5,80,13,21,21,1,303,8,24,239,31,NA,1019,4,4,NA,NA,NA,3,NA,1,904,122
"106",2005,1807,1750,1730,1712,1368,304,34,24,30,161,506,117,65,38,26,4012,1503,87,87,1052,1302,114,452,453,968,6,460,416,1369,95,99,960,112,98,71,1,4,NA,25,416,153,18,13,1,94,16,27,257,11,980,8,179,87,17,188,9,316,20,1257,31,31,61,NA,8,47,36,54,51,51,3,5,83,5,32,32,8,214,6,48,157,25,3,871,7,4,1,3,2,8,1,1,595,121
"107",2006,1784,1740,1718,1708,1366,301,14,30,15,203,471,230,26,36,28,3705,955,83,83,1017,1659,67,218,219,670,10,395,263,1366,132,69,951,122,87,67,6,8,2,22,263,20,7,6,6,36,13,15,18,26,880,11,165,234,23,199,NA,191,20,1315,12,12,18,NA,2,83,48,82,78,78,4,2,172,15,21,21,5,110,155,14,9,27,NA,765,1,7,1,1,3,10,NA,3,513,102
"108",2007,1318,1255,1227,1210,954,192,4,19,17,239,306,102,37,56,35,3078,783,88,88,880,1294,91,217,218,459,8,234,97,954,146,47,608,92,79,69,4,6,2,34,97,13,20,19,2,25,13,23,24,33,800,24,137,327,16,195,6,167,44,1185,4,4,4,NA,6,126,80,76,73,73,3,30,14,10,16,16,3,46,44,8,17,20,1,585,1,3,NA,1,NA,1,NA,4,334,44
"109",2008,928,836,823,816,615,145,8,17,14,207,255,84,17,42,35,2093,715,66,66,521,773,35,240,240,360,9,148,87,615,43,50,398,49,78,60,4,12,4,21,87,32,17,11,NA,30,14,20,14,28,466,29,158,366,2,207,3,94,29,742,7,7,50,1,7,158,119,104,95,95,9,1,NA,3,17,17,3,19,11,7,12,13,NA,383,5,9,1,1,3,10,1,3,261,30
"110",2009,593,542,532,523,405,104,3,16,3,76,222,28,6,21,35,1310,311,23,23,356,583,11,57,59,175,3,69,39,405,29,30,270,22,30,21,1,14,NA,10,39,15,12,2,NA,19,4,8,5,11,307,10,79,111,24,49,6,71,10,545,3,3,19,NA,6,37,33,26,22,22,4,1,NA,10,4,4,1,4,11,2,4,5,NA,195,3,1,2,1,1,5,NA,1,238,20
"111",2010,572,549,540,532,408,110,NA,9,3,58,278,80,5,38,2,1681,522,26,26,270,798,38,198,198,257,2,76,51,408,28,15,269,33,73,25,2,30,NA,12,51,27,35,24,NA,30,3,6,32,25,237,25,58,67,1,145,7,61,34,749,NA,NA,25,NA,3,29,79,29,27,27,2,2,1,4,5,5,NA,34,33,3,32,10,1,286,1,1,NA,1,NA,NA,NA,NA,283,12
"112",2011,604,587,586,582,466,106,3,6,22,48,174,48,2,26,6,1891,467,27,27,501,838,33,113,113,303,NA,109,68,466,42,17,257,30,82,26,1,7,1,6,68,65,38,34,NA,2,3,4,19,10,421,6,19,94,2,93,6,119,7,747,2,2,23,1,1,50,68,6,6,6,NA,3,NA,11,7,6,NA,55,6,5,18,5,1,335,NA,1,NA,2,1,3,2,1,177,11
"113",2012,863,844,838,833,651,170,2,2,14,68,212,56,10,39,17,1928,642,41,41,422,795,27,192,193,378,3,98,84,651,49,9,413,24,30,39,NA,21,NA,4,84,46,28,52,1,12,2,2,28,5,328,2,49,41,8,171,6,168,7,707,2,2,60,NA,4,22,125,30,28,28,2,5,NA,13,11,11,3,53,19,5,27,35,NA,325,NA,2,NA,NA,1,NA,NA,NA,221,46
"114",2013,849,806,800,792,675,96,NA,12,19,77,140,110,19,34,45,1937,758,12,12,329,736,52,206,210,448,4,186,154,675,101,21,340,33,15,11,1,10,1,16,154,32,21,34,2,28,2,8,52,22,294,2,13,83,36,150,1,134,24,639,NA,NA,41,NA,NA,65,74,26,25,25,1,1,NA,43,16,16,4,74,49,44,50,95,1,508,1,NA,NA,NA,1,2,NA,NA,153,49
"115",2014,717,673,670,664,575,66,3,7,38,105,256,42,36,46,33,1964,662,60,60,267,938,63,123,123,402,4,117,91,575,53,21,236,29,88,58,2,11,1,9,91,33,39,45,NA,40,3,4,62,23,254,8,29,166,9,62,2,104,25,838,3,3,7,NA,3,106,18,34,29,29,5,5,NA,10,11,11,NA,37,31,37,62,31,1,231,2,1,NA,NA,NA,3,NA,2,265,20
"116",2015,654,593,581,577,437,91,1,19,14,109,263,57,19,41,29,2182,573,90,90,321,1082,141,71,71,330,5,107,23,437,71,25,177,36,84,86,1,19,NA,8,22,35,23,31,1,59,8,3,23,26,262,42,14,70,14,49,NA,44,22,1039,NA,NA,3,NA,1,10,11,35,29,29,6,4,NA,15,9,9,2,40,15,114,20,33,1,254,1,4,NA,NA,NA,2,NA,1,285,11
"117",2016,739,671,661,657,516,100,3,8,13,90,293,85,20,43,19,2224,769,99,99,335,962,159,109,110,435,10,77,15,516,131,18,221,63,79,91,1,2,NA,22,15,123,19,6,10,48,5,6,55,11,228,22,29,139,13,50,5,49,16,876,3,2,3,NA,9,61,9,64,56,56,8,6,NA,8,17,17,NA,33,3,145,55,10,NA,228,3,3,NA,NA,1,5,NA,14,302,2
"118",2017,855,752,745,730,584,92,10,20,20,105,95,40,34,39,52,2362,718,51,51,516,845,176,171,171,409,11,49,13,584,132,40,277,67,53,46,1,2,NA,18,12,168,5,22,4,84,15,5,78,25,459,3,19,131,27,92,2,123,20,656,10,10,9,NA,3,65,15,60,52,52,7,6,NA,29,21,21,2,29,7,169,78,37,1,314,4,1,NA,1,NA,3,NA,2,102,6
"119",2018,1115,1040,1025,1015,821,126,25,46,16,70,199,31,19,56,62,2311,793,56,56,581,574,175,211,212,453,9,124,11,821,105,86,521,38,101,53,1,4,1,18,10,92,6,15,1,124,6,10,66,23,494,133,17,146,30,140,3,164,30,415,19,19,4,NA,10,40,19,56,52,52,4,67,NA,5,23,23,8,22,7,130,66,11,1,200,NA,2,NA,1,NA,1,NA,NA,210,2
"120",2019,1024,966,961,955,780,130,18,78,18,214,192,27,9,61,23,593,494,56,56,25,3,7,111,112,317,6,44,4,780,41,121,515,14,112,50,NA,1,2,18,3,84,6,27,NA,41,9,16,74,20,NA,155,10,163,11,37,2,148,23,NA,16,16,7,1,3,27,3,61,54,55,5,191,NA,16,5,5,4,24,7,NA,70,60,2,228,NA,NA,1,NA,2,1,1,NA,211,9
"121",2020,893,752,748,740,685,35,55,71,4,221,270,19,6,56,21,479,411,74,74,17,9,2,55,55,261,11,36,21,685,41,136,455,10,152,65,1,4,NA,10,21,68,9,1,1,53,3,9,33,49,NA,105,6,120,5,21,1,148,33,NA,54,54,4,NA,8,32,5,22,20,20,2,167,NA,50,7,6,2,25,10,NA,33,83,1,237,4,2,NA,NA,NA,1,NA,NA,272,20
"122",2021,936,879,873,870,800,59,109,10,1,88,149,19,2,55,16,365,322,56,56,26,NA,NA,63,64,215,9,37,21,800,52,123,572,3,77,50,2,3,1,7,21,58,2,NA,NA,24,2,1,55,18,NA,15,62,95,12,8,1,203,27,NA,55,55,41,1,2,29,4,50,46,47,3,205,1,74,2,2,3,11,1,NA,53,59,NA,260,1,3,NA,1,NA,2,NA,NA,151,22
"123",2022,67,56,56,56,54,2,1,1,NA,8,1,10,4,3,1,36,27,31,31,7,NA,NA,9,9,11,NA,NA,NA,54,NA,4,45,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,9,1,NA,8,NA,21,NA,NA,1,1,3,NA,NA,1,NA,2,NA,NA,2,NA,NA,45,NA,NA,1,NA,NA,NA,1,21,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"124",1897,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",1873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",1894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",1898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
